# id	f435w	f555w	f814w	f435w_err	f555w_err	f814w_err	vsini	vsini uperr	vsini loerr	ra	dec
25006	20.135	19.625	18.91	0.005	0.015	0.009	57.98764469	6.677108659	12.28752989	76.89168277	-67.46345264
25025	20.548	20.251	19.813	0.014	0.015	0.023	114.4724218	10.16930335	10.16930335	76.89495367	-67.46419401
24990	19.892	19.04	18.018	0.009	0.006	0.005	17.10684124	5.715528528	15.1910928	76.90629375	-67.46687251
25011	20.107	19.247	18.231	0.011	0.006	0.02	19.082418	7.887540779	20.65235533	76.87885168	-67.46046592
25005	20.694	20.351	19.849	0.01	0.01	0.012	131.8145401	14.44524919	14.44524919	76.91404508	-67.46865011
25021	20.961	20.728	20.387	0.009	0.018	0.02	99.60255416	15.42957474	15.55222314	76.87137503	-67.45871381
25016	20.003	19.152	18.122	0.004	0.009	0.005	13.53836419	7.786237177	21.25045324	76.90732123	-67.46708164
25037	20.856	20.559	20.173	0.009	0.008	0.017	58.05405198	13.35878919	24.56573072	76.87545121	-67.45965052
25050	20.468	20.198	19.768	0.007	0.008	0.013	63.49339754	14.26973227	24.68852113	76.89017867	-67.46305733
25049	20.684	20.348	19.831	0.007	0.022	0.018	151.6824028	11.90829024	11.90829024	76.89623762	-67.46447113
25033	21.712	21.391	20.986	0.034	0.028	0.016	31.1988054	52.73939897	125.310072	76.90961951	-67.46759635
25070	20.728	20.419	19.958	0.012	0.012	0.008	118.3951749	8.628198229	8.628198229	76.89433166	-67.46400214
25052	20.983	20.724	20.369	0.007	0.006	0.007	102.5659458	14.72350617	14.72350617	76.90584052	-67.46669555
25010	17.993	16.324	13.915	0.005	0.002	0.033	26.17720326	4.845278445	11.99911856	76.90319762	-67.4661274
25057	21.503	21.2	20.763	0.006	0.034	0.012	22.62564782	25.78274946	65.68122019	76.90814583	-67.46722401
25094	20.055	19.199	18.188	0.011	0.012	0.023	23.78462552	5.790955654	14.61815273	76.87777007	-67.46012461
24956	20.522	19.663	18.653	0.003	0.012	0.028	13.2301397	15.35962532	42.01467618	76.887402	-67.46251444
25114	19.828	19.066	18.126	0.005	0.006	0.008	47.87727037	3.340214505	6.822236457	76.8820294	-67.46109795
25124	20.914	20.641	20.278	0.011	0.012	0.011	146.2430544	12.73979128	12.73979128	76.88108092	-67.46086903
25116	21.103	20.765	20.283	0.013	0.011	0.005	169.2122248	15.51778001	15.51778001	76.89470886	-67.46404579
25176	20.843	20.484	19.962	0.009	0.007	0.012	168.6115297	19.18020549	19.18020549	76.87203827	-67.45871532
25194	20.969	20.697	20.293	0.007	0.013	0.025	85.84763865	18.55277961	23.80409244	76.90751775	-67.46694299
25142	20.914	20.556	20.129	0.011	0.011	0.015	84.30507206	13.92825258	18.30031099	76.87378584	-67.4591541
25184	20.829	20.525	20.086	0.007	0.012	0.009	163.092515	11.43671758	11.43671758	76.87265918	-67.45884792
25216	21.042	20.744	20.335	0.014	0.014	0.005	103.7104391	19.24509136	19.24509136	76.88018712	-67.46057269
25199	19.876	19.011	17.989	0.006	0.005	0.005	19.4468092	6.583266665	17.18932938	76.87610172	-67.45963416
25193	21.206	20.927	20.543	0.001	0.007	0.018	146.8104193	21.2423919	21.2423919	76.88394362	-67.46146381
25227	21.005	20.757	20.337	0.011	0.021	0.026	62.37186864	24.81935449	43.49747311	76.90397426	-67.46609614
25233	19.981	19.137	18.11	0.012	0.014	0.01	10.90164437	14.65884045	40.78041203	76.9001936	-67.46521501
25186	21.605	21.272	20.854	0.004	0.009	0.014	47.20950639	16.11653238	33.13252637	76.8831219	-67.46128247
25220	20.757	20.38	19.791	0.012	0.026	0.047	166.0860239	18.36463967	18.36463967	76.87819562	-67.46010501
25252	20.531	20.243	19.812	0.011	0.008	0.013	87.41382565	11.12840908	13.92969102	76.90884355	-67.46720604
25196	20.946	20.562	20.047	0.011	0.016	0.011	169.5905608	16.86724289	16.86724289	76.89190339	-67.46331241
25271	19.674	18.731	17.572	0.011	0.011	0.024	20.61461519	4.643230832	12.01532416	76.89868539	-67.46482845
25255	20.54	20.244	19.818	0.006	0.009	0.018	72.04393591	10.29820856	16.05615613	76.90521439	-67.4663608
25303	17.951	16.244	13.967	0.011	0.023	0.026	25.34317019	5.659915568	14.11094264	76.87888412	-67.46019346
25340	20.46	19.965	19.277	0.011	0.008	0.015	23.33539296	11.72384854	29.69993337	76.89832407	-67.46467035
25202	99	19.998	19.03	99	0.022	0.021	48.64603682	6.535143489	13.24725385	76.8962293	-67.46431322
25333	19.989	19.132	18.12	0.011	0.011	0.012	18.67868889	7.127190933	18.71904116	76.87776223	-67.45989616
25365	21.016	20.375	19.51	0.007	0.013	0.015	15.70575191	19.23567907	51.66482114	76.9000888	-67.46505608
25396	20.18	19.34	18.316	0.003	0.017	0.009	25.86383815	4.919474561	12.21369381	76.90890879	-67.46708128
25367	20.65	20.301	19.848	0.008	0.01	0.013	131.1965315	11.7043142	11.7043142	76.88216036	-67.46088624
25399	20.84	20.497	20.058	0.005	0.027	0.021	20.66079688	33.69652064	87.16562255	76.88909163	-67.46247102
25375	20.477	20.147	19.701	0.008	0.008	0.005	55.96115404	11.16230349	20.99380276	76.87034349	-67.45813035
25407	21.003	20.013	18.773	0.01	0.009	0.009	59.7123436	4.208321608	7.599189906	76.88543007	-67.46161449
25406	19.781	19.039	18.081	0.004	0.011	0.013	23.82285535	5.076156614	12.80989895	76.89234954	-67.4632243
25445	21.694	21.308	20.768	0.006	0.023	0.015	64.55586901	32.26668572	55.13997843	76.87584062	-67.45935216
25470	22.721	22.318	21.696	0.014	0.008	0.009	24.38655432	46.69017681	117.2982798	76.89455105	-67.46368424
25408	20.406	19.595	18.627	0.01	0.009	0.017	17.85286469	6.927361128	18.30861857	76.87438603	-67.45904443
